# 3D对抗样本轨迹数据
# 总点数: 10
# 格式: step,layer,radius,camera_id,angle,x,y,z
1,1,2.5,10,81.00,8.234956,-0.880000,-1.351039
2,1,2.5,11,90.00,7.843870,-0.880000,-1.320260
3,1,2.5,12,99.00,7.452784,-0.880000,-1.351039
4,2,2.25,12,99.00,7.491892,-0.880000,-1.597961
5,3,2.0,12,99.00,7.531001,-0.880000,-1.844883
6,4,1.75,12,99.00,7.570110,-0.880000,-2.091805
7,5,1.5,12,99.00,7.609218,-0.880000,-2.338727
8,6,1.25,12,99.00,7.648327,-0.880000,-2.585650
9,7,1.0,12,99.00,7.687436,-0.880000,-2.832572
10,8,0.75,12,99.00,7.726544,-0.880000,-3.079494
