# 3D对抗样本轨迹数据
# 总点数: 14
# 格式: step,layer,radius,camera_id,angle,x,y,z
1,1,2.5,8,63.00,8.978846,-3.820260,3.107516
2,1,2.5,9,72.00,8.616412,-3.820260,3.257641
3,2,2.25,9,72.00,8.539158,-3.820260,3.019877
4,3,2.0,9,72.00,8.461904,-3.820260,2.782113
5,3,2.0,10,81.00,8.156739,-3.820260,2.855377
6,4,1.75,10,81.00,8.117630,-3.820260,2.608455
7,5,1.5,10,81.00,8.078522,-3.820260,2.361533
8,5,1.5,11,90.00,7.843870,-3.820260,2.380000
9,6,1.25,11,90.00,7.843870,-3.820260,2.130000
10,6,1.25,12,99.00,7.648327,-3.820260,2.114610
11,7,1.0,12,99.00,7.687436,-3.820260,1.867688
12,7,1.0,13,108.00,7.534853,-3.820260,1.831057
13,8,0.75,13,108.00,7.612107,-3.820260,1.593292
14,8,0.75,14,117.00,7.503377,-3.820260,1.548255
